source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
primary,D2,range_reduced,retained,40,24,12,1,ideal_plan,0.17480511666255399786499470018085405841033964762790438816550090712123462537009439,2048,69615,19261234337469,2249709989223,3957,7923
primary,D2,range_reduced,reused,40,24,12,1,ideal_plan,0.17480511666255399786499470018085405841033964762790438816550090712123462537009439,2048,69615,19260706923825,2249182575579,1431,2871
primary,D2,range_reduced,retained,40,24,12,2,ideal_plan,0.17485716026541194160756542682073258104523069200216082277456208960418759595240121,2048,69615,20993939851389,2451972186663,4117,8243
primary,D2,range_reduced,reused,40,24,12,2,ideal_plan,0.17485716026541194160756542682073258104523069200216082277456208960418759595240121,2048,69615,20993387382465,2451419717739,1471,2951
primary,D2,range_reduced,retained,40,24,12,3,ideal_plan,0.17516861495845118088541110782939663600756082591518245051702655247323887357127631,2048,69615,22726645365309,2654234384103,4277,8563
primary,D2,range_reduced,reused,40,24,12,3,ideal_plan,0.17516861495845118088541110782939663600756082591518245051702655247323887357127631,2048,69615,22726067841105,2653656859899,1511,3031
primary,D2,range_reduced,retained,40,24,16,1,ideal_plan,0.17481438275818542665346570983279806483941874381346338073101390737525662081317426,2048,69615,19261234337469,2249709989223,3957,7923
primary,D2,range_reduced,reused,40,24,16,1,ideal_plan,0.17481438275818542665346570983279806483941874381346338073101390737525662081317426,2048,69615,19260706923825,2249182575579,1431,2871
primary,D2,range_reduced,retained,40,24,16,2,ideal_plan,0.17485716394071026386662190724481895016431054593719550892479220165316896591185818,2048,69615,20993939851389,2451972186663,4117,8243
primary,D2,range_reduced,reused,40,24,16,2,ideal_plan,0.17485716394071026386662190724481895016431054593719550892479220165316896591185818,2048,69615,20993387382465,2451419717739,1471,2951
primary,D2,range_reduced,retained,40,24,16,3,ideal_plan,0.17516861496012762577040069054475169569591331704893392186655875935103735817118638,2048,69615,22726645365309,2654234384103,4277,8563
primary,D2,range_reduced,reused,40,24,16,3,ideal_plan,0.17516861496012762577040069054475169569591331704893392186655875935103735817118638,2048,69615,22726067841105,2653656859899,1511,3031
primary,D2,range_reduced,retained,48,24,8,1,ideal_plan,0.17532919498203734049849407397526031567485054936214475520029073916771314679448313,2048,69615,22636455500317,2643806054247,4333,8675
primary,D2,range_reduced,reused,48,24,8,1,ideal_plan,0.17532919498203734049849407397526031567485054936214475520029073916771314679448313,2048,69615,22635882987169,2643233541099,1591,3191
primary,D2,range_reduced,retained,48,24,8,2,ideal_plan,0.17485916472765190056368892303788034330674696060351405923344345509930185846229161,2048,69615,25126219522717,2934424721895,4525,9059
primary,D2,range_reduced,reused,48,24,8,2,ideal_plan,0.17485916472765190056368892303788034330674696060351405923344345509930185846229161,2048,69615,25125616943233,2933822142411,1639,3287
primary,D2,range_reduced,retained,48,24,8,3,ideal_plan,0.17516862238661704859019341384425660053802706417274344426344382353845450192882796,2048,69615,27615983545117,3225043389543,4717,9443
primary,D2,range_reduced,reused,48,24,8,3,ideal_plan,0.17516862238661704859019341384425660053802706417274344426344382353845450192882796,2048,69615,27615350899297,3224410743723,1687,3383
primary,D2,range_reduced,retained,48,24,12,1,ideal_plan,0.17480511666255399786499470018085405841033964762790438816550090712123462537009439,2048,69615,27628838939677,3226540390503,4717,9443
primary,D2,range_reduced,reused,48,24,12,1,ideal_plan,0.17480511666255399786499470018085405841033964762790438816550090712123462537009439,2048,69615,27628206293857,3225907744683,1687,3383
primary,D2,range_reduced,retained,48,24,12,2,ideal_plan,0.17485716026541194160756542682073258104523069200216082277456208960418759595240121,2048,69615,30118602962077,3517159058151,4909,9827
primary,D2,range_reduced,reused,48,24,12,2,ideal_plan,0.17485716026541194160756542682073258104523069200216082277456208960418759595240121,2048,69615,30117940249921,3516496345995,1735,3479
primary,D2,range_reduced,retained,48,24,12,3,ideal_plan,0.17516861495845118088541110782939663600756082591518245051702655247323887357127631,2048,69615,32608366984477,3807777725799,5101,10211
primary,D2,range_reduced,reused,48,24,12,3,ideal_plan,0.17516861495845118088541110782939663600756082591518245051702655247323887357127631,2048,69615,32607674205985,3807084947307,1783,3575
primary,D2,range_reduced,retained,48,24,16,1,ideal_plan,0.17481438275818542665346570983279806483941874381346338073101390737525662081317426,2048,69615,27628838939677,3226540390503,4717,9443
primary,D2,range_reduced,reused,48,24,16,1,ideal_plan,0.17481438275818542665346570983279806483941874381346338073101390737525662081317426,2048,69615,27628206293857,3225907744683,1687,3383
primary,D2,range_reduced,retained,48,24,16,2,ideal_plan,0.17485716394071026386662190724481895016431054593719550892479220165316896591185818,2048,69615,30118602962077,3517159058151,4909,9827
primary,D2,range_reduced,reused,48,24,16,2,ideal_plan,0.17485716394071026386662190724481895016431054593719550892479220165316896591185818,2048,69615,30117940249921,3516496345995,1735,3479
primary,D2,range_reduced,retained,48,24,16,3,ideal_plan,0.17516861496012762577040069054475169569591331704893392186655875935103735817118638,2048,69615,32608366984477,3807777725799,5101,10211
primary,D2,range_reduced,reused,48,24,16,3,ideal_plan,0.17516861496012762577040069054475169569591331704893392186655875935103735817118638,2048,69615,32607674205985,3807084947307,1783,3575
residual,D1,signed_residual,reused,48,24,8,1,ideal_plan,0.10296484386504933651439362890390536371300984573562950044857680327580613607672917,128,4335,893945932501,104719289723,2364,4733
residual,D1,signed_residual,reused,48,24,8,2,ideal_plan,0.10328174714352120635087031534782544078239072704281206196965281413658549310232125,128,4335,971213574709,113767229915,2412,4829
